LCM_Broad,density_name,,very_broad
Broadleaved_woodland,"Broad_leaved,_mixed_and_yew_woodland",,Rural
Coniferous_Woodland,Coniferous_woodland,,Rural
Arable_Horticulture,Arable_and_horticulture,,Rural
Improved_Grassland,Improved_grassland,,Rural
Neutral_Grassland,Rough_low-productivity_grassland,,Rural
Calcareous_Grassland,Rough_low-productivity_grassland,,Rural
Acid_grassland,Rough_low-productivity_grassland,,Rural
Fen_Marsh_Swamp,Fen_marsh_and_swamp,,Rural
Heather,Dwarf_shrub_heath,,Rural
Heather_grassland,Dwarf_shrub_heath,,Rural
Bog,Bog,,Rural
Inland_Rock,Montane_habitats,,Rural
Saltwater,Saltwater,,Rural
Freshwater,Freshwater,,Rural
Supralittoral_Rock,Supra-littoral_rock,,Rural
Supralittoral_Sediment,Supra-littoral_sediment,,Rural
Littoral_Sediment,Littoral_sediment,,Rural
Saltmarsh,Littoral_sediment,,Rural
Urban,Built_up_areas_and_gardens,,Built_up_areas_and_gardens
Suburban,Built_up_areas_and_gardens,,Built_up_areas_and_gardens