Sp_name,Area_Wales,Area_Score,Area_Sp,WoodlandOpp_Sp,Areaforplanting,Wales_target,Coniferous_Woodland,Arable_Horticulture,Improved_Grassland,Neutral_Grassland,Calcareous_Grassland,Acid_grassland,Fen_Marsh_Swamp,Heather,Heather_grassland,Bog,Inland_Rock,Saltwater,Freshwater,Supralittoral_Rock,Supralittoral_Sediment,Littoral_Sediment,Saltmarsh,Urban,Suburban,Species
11,2078218,234839,2326995,209297,8734,9800,1.47,370.98,7003.28,368.41,0.09,235.81,59.76,1.95,22.14,0.23,5.22,0.35,17.21,0.15,11.65,0.09,19.66,35.15,580.4,Dama dama
12,2078218,234839,1522201,142649,5953,9800,1,291.87,4840.54,126.65,0.14,97.65,27.08,0.67,25.64,0,3.22,0,6.62,0.39,6.9,0,17.32,22.53,484.78,Eptesicus serotinus
13,2078218,234839,2549381,234703,9794,9800,1.51,438.89,7893.46,374.57,0.1,237.94,64.6,1.74,30.17,0.12,5.3,0.24,16.75,0.5,15.83,0.14,21.77,38.06,652.31,Erinaceus europaeus
17,2078218,234839,2548234,234703,9794,9800,1.49,436.14,7894.84,373.18,0.13,237.52,63.54,1.45,29.2,0.24,5.38,0.34,16.54,0.4,15.2,0.12,21.42,38.33,658.54,Lepus europaeus
19,2078218,234839,2549381,234703,9794,9800,1.53,442.7,7884.19,371.38,0.15,235.71,64.72,1.85,30.35,0.19,5.47,0.13,17.19,0.55,15.6,0.13,21.28,38.25,662.63,Lutra lutra
1,2078218,234839,1062828,77061,3216,9800,0.77,180.27,2627.35,80.78,0.13,81.69,5.74,0,4.74,0.13,1.51,0.23,12.09,0.14,2.27,0,1.13,11.95,205.08,Apodemus flavicollis
21,2078218,234839,1173766,72612,3030,9800,0.63,94.84,2445.1,184.46,0,129.7,2.64,0.56,3.16,0,1.6,0.2,3.82,0,2.23,0.03,3.06,17.36,140.61,Martes martes
22,2078218,234839,2549381,234703,9794,9800,1.54,439.73,7883.94,377.02,0.14,237.07,65.18,1.79,29.37,0.15,5.61,0.24,16.61,0.41,14.72,0.1,21.75,39.78,658.85,Meles meles
23,2078218,234839,912414,75743,3161,9800,0.29,184.14,2424.57,224.11,0,34.05,32.77,0.9,7.55,0.14,2.53,0.25,7.64,0.11,2.84,0.04,7.84,15.24,215.99,Micromys minutus
24,2078218,234839,2382946,205467,8574,9800,1.55,420.25,6863.27,372.5,0.1,230.16,54.96,1.73,17.37,0.21,4.52,0.27,16.89,0.28,12.25,0.16,18.62,36.82,522.09,Microtus agrestis
26,2078218,234839,1602234,116935,4880,9800,0.89,277.51,3875.66,212.18,0.14,157.6,14.74,1.14,3.32,0,1.75,0,15.04,0,3.11,0.06,4.09,21.85,290.92,Muntiacus reevesi
27,2078218,234839,1391358,93401,3898,9800,0.64,241.62,3001.1,234.28,0,130.45,5.56,1,7.07,0,1.73,0,11.93,0.35,2.52,0,5.63,23.98,230.14,Mus musculus
28,2078218,234839,1867965,172367,7193,9800,1.59,395.57,5671.93,296.28,0.07,207.31,19.99,1.33,24.66,0.08,2.62,0.26,16.3,0.32,4.91,0,15.86,37.76,496.16,Muscardinus avellanarius
29,2078218,234839,2124317,178125,7433,9800,1.22,366.96,5912.7,371.5,0.13,212.87,50.99,1.69,17.73,0.23,3.94,0.35,17.14,0.28,13.22,0.12,17.27,33.53,411.13,Mustela erminea
2,2078218,234839,2489272,231462,9659,9800,1.27,431.72,7800.95,371.68,0.14,220.81,62.59,1.59,27.65,0.21,5.14,0.21,16.27,0.48,14.4,0.11,22.33,37.85,643.6,Apodemus sylvaticus
30,2078218,234839,2438415,217328,9069,9800,1.36,426.14,7240.83,374.44,0.1,234.9,62.65,1.61,29.43,0.09,5.12,0.23,16.3,0.34,14.87,0.12,20.91,36.55,603.01,Mustela nivalis
31,2078218,234839,2539577,232862,9717,9800,1.4,430.61,7828.8,375.8,0.12,235.37,64.98,1.75,27.17,0.21,5.63,0.21,16.66,0.41,14.94,0.18,21.26,37.4,654.1,Mustela putorius
32,2078218,234839,9775,202,8,9800,0,0.11,6.5,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0.03,0,0.92,Myodes glareolus subsp skomerensis
33,2078218,234839,2486957,222360,9279,9800,1.73,420.6,7466.68,373.97,0.19,239.49,56.65,1.63,18.79,0.15,5.49,0.26,16.98,0.43,13.15,0.09,17.67,37.42,607.63,Myodes glareolus
35,2078218,234839,82273,1059,44,9800,0.05,7.92,31.52,0.13,0,0,0,0,0,0,0,0,0.25,0,0,0,0.18,0.28,3.67,Myotis bechsteinii
36,2078218,234839,2532609,230931,9637,9800,1.43,439.23,7744.01,374.18,0.08,238.27,60.85,1.72,29.37,0.14,4.78,0.3,17.25,0.37,13.9,0.03,21.05,38.85,651.19,Myotis brandtii_mystacinus
37,2078218,234839,2520670,230578,9622,9800,1.49,429.24,7739.8,371.49,0.1,239.49,65.49,1.59,28.63,0.14,5.28,0.28,16.45,0.49,14.53,0.12,21.07,38.4,647.92,Myotis daubentonii
38,2078218,234839,2545915,234442,9783,9800,1.54,443.06,7875.56,374.11,0.1,236.29,63.91,2,29.75,0.21,5.69,0.27,17.1,0.5,15.35,0.09,21.06,38.52,657.89,Myotis nattereri
39,2078218,234839,2235637,199389,8321,9800,1.48,406.16,6626.55,373.29,0.17,222.08,55.08,1.65,18.67,0.17,4.65,0.22,16.04,0.34,12.92,0.07,18.01,35.42,528.03,Neomys fodiens
3,2078218,234839,1928020,174215,7270,9800,0.74,335.43,5896.96,370.36,0,171.44,45.85,1.72,7.11,0,3.34,0,16.14,0.29,9.76,0.09,14.95,30.61,365.21,Arvicola amphibius
40,2078218,234839,2524431,233808,9757,9800,1.51,438.17,7856.07,374.14,0.17,237.9,64.2,1.74,28.35,0.17,5.01,0.32,16.87,0.45,14.17,0.14,20.61,39.22,657.79,Neovison vison
41,2078218,234839,846066,66974,2795,9800,1.02,165.94,2286.97,17.54,0.08,108.08,1.84,0,3.65,0,0.95,0,5.67,0,0.22,0,1.51,9.61,191.92,Nyctalus leisleri
42,2078218,234839,2547400,234560,9788,9800,1.62,434.97,7889.78,373.66,0.07,236.75,64.15,1.65,28.65,0.23,5.42,0.21,17.34,0.5,14.68,0.12,20.92,37.4,659.88,Nyctalus noctula
43,2078218,234839,2549381,234703,9794,9800,1.47,436.36,7893.54,372.81,0.17,237.06,65.79,1.7,29.77,0.14,5.27,0.21,16.88,0.51,15.13,0.14,21.36,37.17,658.52,Oryctolagus cuniculus
45,2078218,234839,1016618,102699,4286,9800,1.03,230.98,3433.92,158.56,0.15,90.92,35.68,0.77,2.4,0.14,2.59,0,13.7,0,2.93,0.08,2.27,13.45,296.43,Pipistrellus nathusii
46,2078218,234839,2549372,234703,9794,9800,1.57,437.23,7885.82,374.45,0.09,238.25,63.69,1.76,29.66,0.17,5.66,0.25,16.76,0.42,15.06,0.13,21.02,37.43,664.58,Pipistrellus pipistrellus sl
47,2078218,234839,2544715,234684,9794,9800,1.63,439.62,7892.05,374.14,0.1,235.63,64.41,1.92,29.89,0.26,5.49,0.33,16.95,0.41,14.82,0.18,21.43,38.3,656.44,Pipistrellus pipistrellus sstr
48,2078218,234839,2549372,234703,9794,9800,1.77,439.87,7886.65,371.61,0.11,236.66,65.36,1.87,30.41,0.25,5.31,0.21,17.12,0.57,15.2,0.14,21.16,38.98,660.75,Pipistrellus pygmaeus
49,2078218,234839,2549381,234703,9794,9800,1.54,440.31,7886.45,374.05,0.11,239.61,64.31,1.82,29.4,0.14,5.12,0.29,16.72,0.5,14.72,0.12,20.84,38.3,659.65,Plecotus auritus
4,2078218,234839,918610,42645,1780,9800,0.4,72.91,1492.77,28.75,0,53.16,5.91,0,5.05,0,0.88,0.21,3.47,0.37,1.65,0,3.28,4.99,106.2,Barbastella barbastellus
51,2078218,234839,2348187,201870,8424,9800,1.58,411.23,6717.24,371.15,0.07,235.51,54.73,1.95,20.85,0.17,4.46,0.42,16.91,0.27,12.95,0.19,17.9,36.02,520.4,Rattus norvegicus
52,2078218,234839,1440321,121678,5078,9800,1.09,262.44,4109.49,55.94,0.11,152.22,22.18,0.69,25.55,0.15,1.84,0,9.52,0.39,6.34,0,14.09,17.31,398.65,Rhinolophus ferrumequinum
53,2078218,234839,2357010,212028,8848,9800,1.61,425.93,7047.66,370.11,0.11,233.22,56.03,1.74,29.48,0.2,5.44,0.17,16.82,0.45,9.63,0.1,20.07,37.37,591.86,Rhinolophus hipposideros
54,2078218,234839,2462465,202562,8453,9800,1.66,423.81,6687.26,372.4,0.14,238.39,24.31,1.19,24.62,0.16,3.99,0.33,16.55,0.46,7.82,0.06,18.81,37.14,593.9,Sciurus carolinensis 1995
55,2078218,234839,2460799,201935,8427,9800,1.65,425.92,6659.7,372.58,0.17,240.12,24.37,1.18,24.49,0.2,4.33,0.21,17.07,0.5,8.15,0.03,19.05,37.94,589.34,Sciurus carolinensis 2005
56,2078218,234839,2446419,199515,8326,9800,1.62,425.82,6559.21,371.66,0.12,240.45,24.56,1.24,25.19,0.13,4.38,0.23,16.95,0.4,8.24,0.07,18.96,37.35,589.42,Sciurus carolinensis 2010
57,2078218,234839,918156,76676,3200,9800,0.47,52.42,2660.54,132.36,0,86.07,41.12,0.94,3.38,0.22,3.13,0.2,1.27,0,7.92,0.11,5.31,11.05,193.49,Sciurus vulgaris 1995
58,2078218,234839,675403,54010,2254,9800,0.26,27.58,1881.76,113.59,0,45.24,40.81,0.54,2.73,0,2.26,0,0.97,0,8.2,0.14,5.48,7.57,116.87,Sciurus vulgaris 2005
59,2078218,234839,350413,39100,1632,9800,0.02,8.06,1435.6,32.3,0,14.66,40.81,0.55,1.3,0,1.58,0,0.62,0,7.22,0.12,2.5,0.35,86.31,Sciurus vulgaris 2010
5,2078218,234839,237100,17321,723,9800,0.03,9.41,564.87,65.59,0,19.99,2.95,0,2.65,0,1.87,0,0.32,0,1.79,0,6.76,0.83,45.94,Capra aegagrus hircus
60,2078218,234839,2424241,217141,9061,9800,1.48,427.95,7231.48,370.99,0.07,234.97,63.62,1.68,28.94,0.15,5.12,0.3,16.85,0.4,14.55,0.09,21.08,37.77,603.51,Sorex araneus
61,2078218,234839,2351695,202770,8462,9800,1.58,380.27,6814.17,291.02,0.13,229.59,60.78,1.44,23.33,0.17,4.53,0.28,16.34,0.45,14.06,0.14,13.56,31.92,578.24,Sorex minutus
62,2078218,234839,49146,2409,101,9800,0.11,11.86,78.11,0.22,0,0.35,0,0,0,0,0,0,0.55,0,0,0,0.28,0.53,8.99,Sus scrofa
63,2078218,234839,2549381,234703,9794,9800,1.37,436.15,7893.04,370.4,0.09,237.36,65.68,1.68,29.9,0.17,5.52,0.25,17.11,0.45,15.22,0.16,20.96,38.68,659.81,Talpa europaea
64,2078218,234839,2549381,234703,9794,9800,1.87,440.45,7891.38,372.32,0.09,236.13,64.93,1.67,29.36,0.26,5.37,0.27,16.92,0.46,14.88,0.09,20.81,38.67,658.07,Vulpes vulpes
6,2078218,234839,2157260,168531,7033,9800,1.6,364.38,5596.69,342.49,0.13,208.77,12.72,1.38,7.99,0.19,3.84,0.25,16.11,0.4,2.3,0,14.22,33.58,425.96,Capreolus capreolus
8,2078218,234839,1104209,88410,3689,9800,0.55,127.81,3146.21,15.9,0,74.86,21.6,0.32,7.75,0.14,3.04,0.21,2.14,0.18,1.45,0,3.7,8.38,274.76,Cervus elaphus
9,2078218,234839,147678,11326,473,9800,0,17.49,405.66,0.17,0,0,3.61,0,2.38,0,0.02,0,0,0.16,0.45,0,1.49,0.15,41.42,Cervus nippon
